String Index	Text
A4Q2ExpansionSuccessTyrael	40\nPraise be to the Light! You have \naccomplished the impossible!\n \nDiablo and Mephisto have been \nbanished back into the Black Abyss \nthat spawned them, and the corrupted \nSoulstones are no more.\n \nHowever, while you were fighting here, \nBaal remained behind in the mortal \nrealm, building an army of hellish \nminions. Now, Baal's army is searching \nfor the Worldstone, the ancient source \nof all the Soulstones and their power, \nwhile leaving behind a wake of \ndestruction. They have forged deeply \ninto the Barbarian homelands, heading \ndirectly for the summit of Mount \nArreat!\n \nBaal knows, mortal hero! That is the \nvery site of the blessed Worldstone!\n \nNow, enter the portal I have opened for \nyou. It will take you to the Barbarian \ncity of Harrogath, the last bastion of \nOrder on the slopes of Arreat.\n
A4Q2ExpansionSuccessCain	40\nI knew there was great potential in you, \nmy friend. You've done a fantastic job.\n \nThough my ancestors often struggled \nagainst the Three Evils and their \nminions, I've always lived a shut-in, \nscholarly life. I'm glad that my wisdom \naided you.\n \nNow, I wish to leave this place. Though \nHeaven's Gates are a marvel to behold, \nI hope I won't have to see them again \nfor many, many years.\n \nPlease talk to Tyrael about leaving this \nplace now!\n
AncientsAct5IntroGossip1	35\nWe are the spirits of the Nephalem, the \nAncient Ones. We have been chosen to \nguard sacred Mount Arreat, wherein \nthe Worldstone rests. Few are worthy \nto stand in its presence; fewer still can \ncomprehend its true purpose.\n \nBefore you enter, you must defeat us.\n
CainAct5IntroGossip1	39\nI am amazed to find this place so \nuntouched. Everything else in the path \nof Baal the Lord of Destruction lies in \nruin. \n \nThese Barbarians must indeed be the \nlegendary guardians of Mount Arreat. \nThey are a proud, hardy people. Don't \nexpect to be greeted warmly -- \nstrangers here rarely are.\n \nPerhaps I can gain their trust. I'll spend \nsome time with the townsfolk and try \nto understand them better. I'll let you \nknow what I discover.\n
CainAct5Gossip1	52\nWith hellspawn, size is no measure of \ntheir threat. Demons half the size of \nmen can kill with a gesture, while \nhellish pack animals trample any who \nstand in their way.\n
CainAct5Gossip2	55\nThough these Barbarians are known \nthroughout the kingdoms as ferocious \nfighters, they are also capable of great \ncompassion.\n \nThey have trained throughout history \nfor a battle their legends foretell will \ndecide the fate of the world.\n
CainAct5Gossip3	55\nThe angel Tyrael has watched over the \nguardians of Arreat throughout \nhistory. I do not believe that Baal and \nTyrael have come to fight over a paltry \nfew souls.\n \nThey are here to settle a conflict as old \nas time itself.\n
CainAct5Gossip4	44\nDuring my time with the Horadrim, we \noften debated the nature of Mount \nArreat.\n \nWe knew that the Barbarian clans \nzealously guarded the mountain as \ntheir sacred duty. However, many \ndismissed their zeal as simple \nsuperstition...combined with an inborn \nhostility toward outsiders.\n \nThose Horadrim who trekked up Arreat \nwere never heard from again...Still, I \ndo not believe they died at the hands of \nBarbarians.\n
CainAct5Gossip5	41\nAll users of the magical arts know of \nMount Arreat, but few understand its \ntrue nature. It is the nexus of an \nunfathomable magic.\n \nIt bodes ill that the Lord of Destruction \nraces to its summit with such purpose. \nI fear for the whole world should Baal \ngain what he seeks.\n
CainAct5Gossip6	59\nI have spent decades trying to \nunderstand the forces at work in this \nworld. But in the face of all that is \ntranspiring, I realize how meager my \nknowledge is.\n \nI will be of assistance where I can, my \nfriend.\n
CainAct5Gossip7	54\nThough the Elder Council of Harrogath \nis gone, there are many capable young \nleaders to take their place.\n \nAnya certainly has enough courage and \nintelligence to lead them all, if they can \nsurvive this catastrophe.\n
CainAct5Gossip8	53\nAh, Anya. Such a fine example of \nfeminine strength...\n \nShe reminds me of the Zakarum \npriestesses I knew in my youth. They \ndon't take vows of chastity, you know.\n
CainAct5Gossip9	65\nIt is fortunate that this town has such a \ntalented smith.\n \nThe quality of Larzuk's work surely \ncomplements your skills. In fact, he \nwould have been quite welcome \namongst the Horadrim.\n
CainAct5Gossip10	54\nIt is my belief that the Soulstones are at \nthe center of this conflict. If only that \nfool Marius had not intervened, Baal \nwould still be imprisoned within Tal \nRasha.\n
AnyaAct5IntroGossip1	54\nYou have proven yourself a true hero to \nme and my people.\n \nThese are dark times, warrior. I hope \nyou can bring an end to Baal's reign of \ndestruction. \n \nOur Council of Elders is gone -- my \nfather, Aust, among them. The one \nthing that keeps us from total despair \nis the promise of vengeance against \nBaal.\n
AnyaGossip1	45\nNow that the Elders are all dead, I don't \nknow who will guide our people through \nthis dark time. I was to be next in line \nafter my father, but this burden is too \ngreat for me to shoulder alone. \n \nWe are a people of strong blood. I shall \ndo what I can and let fate do the rest.\n
AnyaGossip2	82\nBaal's minions are not to be trifled with. \nIn their bloodlust they will sacrifice \nthemselves to destroy you.\n
AnyaGossip3	60\nMany outsiders believe that the \nfantastic stories about our ancestors, \nthe Ancients, are but fables. However, I \nbelieve that the Ancients were more \nthan human -- that mankind has fallen \nfrom what it once was.\n
AnyaGossip4	58\nWhen I was a child, the Elders told us \nstories about the mountain and its \npower...and how the Barbarian people \nare bound to it as protectors.\n \nBaal is not just taking our land -- with \nevery step he takes up the mountain, \nhe takes a part of who we are as a \npeople.\n
AnyaGossip5	72\nI am truly glad you are here, warrior. \nPerhaps things would be different now \nif we had asked for assistance from \nthe neighboring kingdoms.\n \nOur foolish, foolish pride...\n
AnyaGossip6	54\nMy father, Aust, was among those \nElders wise enough to see that we \nwould need outside help to deal with \nBaal's legions. He believed that this \nconflict would affect the entire world, \nnot just our homeland. He said that \nMount Arreat is as necessary to the \nworld's survival as food and water is to \nour own.\n \nI believe this to be true.\n
AnyaGossip7	50\nQual-Kehk's confidence in his abilities \nonce bordered on arrogance, but in the \nearly days of the siege, he was \nhumbled by Baal. While he saved us \nfrom immediate destruction, a third of \nour warriors were lost.\n \nNone felt those losses more than he. \nThough he may not admit it, your \npresence gives him hope, warrior.\n
AnyaGossip8	78\nIf Larzuk could sing or dance half as \nwell as he smiths, he'd be married by \nnow.\n \n...Just look at those shoulders.\n
AnyaGossip9	57\nNihlathak was the last of our Elders, \nwhose charge it was to safeguard the \nmountain. He alone tried to guide us \nthrough the most desperate time in our \nhistory -- but he was just as helpless as \nthe rest of us.\n \nI cannot forgive his betrayal, but I can \nlearn from it.\n
AnyaGossip10	60\nOur people believe that the Ancients \nprotecting Mount Arreat have the \npower to stop Baal. Unfortunately, the \nLord of Destruction has shown great \npower to undermine our faith.\n
LarzukAct5IntroGossip1	55\nI am Larzuk, the armorer. My ancestors \nwere some of the finest craftsmen in \nHarrogath. \n \nRegretfully, my supplies run lower with \nevery passing day, yet the demons \nbeyond the walls have not weakened. \n \nI fear the time is near when I must put \ndown my hammer and take up a sword, \ninstead.\n
LarzukAct5IntroAmaGossip1	42\nSo, you're an Amazon. I have heard \nrumors about your kind. Your unusual \nweapons could prove a challenge to my \nskills, but I'm prepared to meet it.\n \nI am Larzuk, the armorer. My ancestors \nwere some of the finest craftsmen in \nHarrogath. Regretfully, my supplies run \nlower with every passing day, yet the \ndemons beyond the walls have not \nweakened. I fear the time is near when \nI must put down my hammer and take \nup a sword, instead.\n
LarzukGossip1	65\nI've heard that you Amazons excel at \nkilling from a distance. From what I've \nseen, that's the best way to deal with \nHell's minions. \n \nAre all of your kind so...big?\n
LarzukGossip2	65\nWhy did you ever leave your beautiful \nislands to come to this frozen \nbattleground? Perhaps if we both \nsurvive this, we'll travel back there \ntogether.\n
LarzukGossip3	75\nHas that infernal howling been keeping \nyou awake at night, too? Some think \nit's the howling of animals, but those \nsounds don't come from any beast I've \never known.\n
LarzukGossip4	69\nDemonic forces have been using our \nown towers and barricades against us. \nYou know, it would be wise to cut the \ndemons down in the open before they \ncan mount those fortifications.\n
LarzukGossip5	70\nNihlathak's despair is infectious -- and \nhis behavior does not befit an Elder of \nhis stature. I think we'd be better off \nwithout him.\n
LarzukGossip6	63\nI've offered Qual-Kehk my ideas on how \nto break the siege, but he dismisses \nthem. Is it because I lack scars of \nbattle, or does he think I'm a couple \narrows short of a quiver?\n
LarzukGossip7	64\nLegend has it that the top of Mount \nArreat is guarded by the spirits of our \nancestors. Though our people are \nforbidden to climb to the mountain's \nsummit, some foreign travelers have \nmade the attempt.\n \nNone have ever returned.\n
LarzukGossip8	66\nThis is a lively town during our victory \ncelebrations. We Barbarians train long \nand hard from childhood to become \nwarriors, and we celebrate with equal \nfervor.\n \nYou didn't happen to bring along any \nale to trade?\n
LarzukGossip9	54\nEvery day, one of my friends dies \nfighting outside the town walls, while I \ntend my anvil here unscathed. If only \nwe didn't need weapons so badly, I \ncould be out doing my share of the \nfighting. \n \nGood luck to you, warrior.\n
LarzukGossip10	56\nJust so you know...The gold you pay me \ndoesn't line my pockets. Much of it \ngoes to buy the raw metal I need to \nmelt down for weapons and armor. The \nrest -- well, all I can spare -- goes to \nMalah and Qual-Kehk for other \nsupplies.\n
MalahAct5IntroGossip1	35\nI, Malah, welcome you to Harrogath, \nthe last stronghold of Order on Mount \nArreat. You have come to the right \nplace if you intend to defeat Baal the \nLord of Destruction.\n \nBaal has laid waste to our mountain \nand its denizens. His minions continue \nto attack our town, while Qual-Kehk \nand his men have proven helpless to \nstop them. Baal is still out on the \nmountain looking for something -- but I \nknow not what. \n \nAll of the Elders, save Nihlathak, \nsacrificed themselves to place a \nprotective ward around Harrogath.\n \nSome of us here, certainly Nihlathak, do \nnot appreciate your presence. We are a \nproud people, and it is not easy for us \nto accept aid. I, however, am glad you \nare here.\n \nIf you need healing or a potion, please \ncome to me. See Larzuk for weapons, \narmor, and repairs. Nihlathak, despite \nhis disposition, may be of some \nassistance with other wares. Finally, \nQual-Kehk, our Man-At-Arms, leads \nHarrogath's remaining forces against \nBaal.\n
MalahAct5IntroSorGossip1	36\nA Sorceress...Here in Harrogath?\n \nThere was a time, child, when I thought \nI was destined to follow your kind's \npath. However, my powers never \ndeveloped beyond the simplest of \nspells. Although I can heal almost any \nwound with time and energy, there is \nlittle I can do to help against Baal.\n \nBut enough of that...I spend too much \ntime in reflection and have forgotten \nmy manners.\n \nI, Malah, welcome you to Harrogath, \nthe last stronghold of Order on Mount \nArreat. You have come to the right \nplace, if you intend to defeat Baal the \nLord of Destruction.\n \nBaal has laid waste to our mountain \nand its denizens. His minions continue \nto attack our town, while Qual-Kehk \nand his men have proven helpless to \nstop them. Baal is still out on the \nmountain looking for something -- but I \nknow not what. \n \nAll of the Elders, save Nihlathak, \nsacrificed themselves to place a \nprotective ward around Harrogath.\n \nSome of us here, certainly Nihlathak, do \nnot appreciate your presence. We are a \nproud people, and it is not easy for us \nto accept aid. I, however, am glad you \nare here.\n \nIf you need healing or a potion, please \ncome to me. See Larzuk for weapons, \narmor, and repairs. Nihlathak, despite \nhis disposition, may be of some \nassistance with other wares. Finally, \nQual-Kehk, our Man-At-Arms, leads \nHarrogath's remaining forces against \nBaal.\n
MalahAct5IntroBarGossip1	34\nYou have traveled far only to return \nhome to us, Barbarian. Ohh...Much has \nhappened in Harrogath since you left. \nOur homeland is hardly recognizable \nwith so much evil about.\n \nYet, I've managed to survive so far. \nYou've seen your share of suffering as \nwell, I'm sure. Seeing you again -- alive \n-- does my heart good. I shall pray that \nyou can help us out of this hell.\n \nBaal has laid waste to our mountain \nand its denizens. His minions continue \nto attack our town, while Qual-Kehk \nand his men have proven helpless to \nstop them. Baal is still out on the \nmountain looking for something -- but I \nknow not what.\n \nNihlathak is the last survivor of the \nCouncil of Elders, but I'm afraid he has \nnot been himself lately. The other \nElders sacrificed themselves to place a \nprotective ward around Harrogath. If \nNihlathak is curt with you, it is because \nhe feels responsible for our situation. \nHe does not relish sending more of our \npeople out to die.\n \nSo much has changed since you left \nthat I see little hope for us in this life.\n \nIf you need healing or a potion, please \ncome to me. See Larzuk for weapons, \narmor, and repairs. Nihlathak, despite \nhis disposition, may be of some \nassistance with other wares. Finally, \nQual-Kehk, our Man-At-Arms, leads \nHarrogath's remaining forces against \nBaal.\n
MalahGossip1	53\nI'm aware of the amazing magical \npowers a Sorceress can channel. If we \nsurvive Baal's wrath, I would be most \nhonored if you could demonstrate and \nperhaps teach me something of what \nyou know. \n \nI may be old, but I'm not dead.\n
MalahGossip2	42\nI know you and my son, Bannuk, did not \npart on the best of terms. He did not \nunderstand the wanderlust that drove \nyou to leave your homeland. However, \neven though Bannuk could never admit \nit to me, as he grew older I could see \nthat same desire in his eyes.\n \nOh...It's a pity I didn't encourage him to \ngo with you. He might still be alive \ntoday.\n
MalahGossip3	57\nThough once considered shelter by our \npeople, the Ice Caves offer no refuge \nfrom the dark horde. There are \ncreatures there that will freeze your \nheart before feasting upon it.\n
MalahGossip4	107\nOn the battlefield, turning your back on \neven the dead is unwise.\n
MalahGossip5	60\nThis battle plays mind tricks on our \nwarriors. Those fortunate enough to \nhave returned from the mountainside \nclaim to have seen angels in flight.\n \nFly they might, but that certainly does \nnot make them angels.\n
MalahGossip6	53\nPerhaps you have heard the accounts \nof my son's horrible death at the hands \nof Baal's minions. He was my last living \nchild...\n \nThe oath of compassion I have taken as \na healer extends only to humankind.\n \nCut them down, warrior. All of them!\n
MalahGossip7	78\nThe catapults are infernal machines \nmade of demon flesh fused with steel.\n \nBe wary of them.\n
MalahGossip8	60\nQual-Kehk is a worthy leader, but the \nlosses have borne heavily upon him. He \nis only impatient because he judges the \nworth of a warrior by action, not \nwords.\n \nYou must prove yourself worthy of his \ntrust.\n
MalahGossip9	52\nLarzuk possesses a good soul, but at \ntimes his mind seems quite unsound. \n \nHe once asked me for twenty of my \nfinest sheepskins. He said he would fill \nthem with hot air and float like a cloud \nabove the battlefield to spy on Baal's \nlegions! \n \nI worry the siege has driven him mad.\n
MalahGossip10	90\nBe cautious, warrior.\n \nThough I am an experienced healer, \nresurrection is beyond my powers.\n
MalahGossip11	53\nI pray for the day when the fields are \ncovered in snow unstained by the blood \nof our own. Perhaps that day will come \nsoon...Perhaps never...\n \nOh...But I forget myself. How may I aid \nyour quest?\n
MalahGossip12	64\nYour gold is most helpful. Medical \nsupplies for our wounded are scarce \nand very expensive.\n \nWhen we can find a supplier, oh, we \nmust pay dearly for what we need.\n
MalahGossip13	44\nWith the exception of Qual-Kehk, the \ntownspeople do not see what I see -- \nthe massacre we face.\n \nOur bravest, strongest heroes hobble \nback to me begging for help. I do what \nI can -- healing and bandaging some, \npreparing the others for what lies \nbeyond.\n
NihlathakAct5IntroGossip1	43\nWell, well. The siege has everything in \nshort supply...except fools. \n \nWhy would you seek this place, \nstranger? Are you a vulture come to \nloot the bodies of our fallen warriors? \n \nRegardless, this is no place to make a \nname for yourself. The mountain is \nours to protect. It is only a matter of \ntime before Hell's legions are routed.\n
NihlathakAct5IntroAssGossip1	54\nWell, well...An Assassin!\n \nHeh, heh...While I am sure we are all \ngrateful for your presence in our \ntroubled town, you need not have made \nthe journey.\n \nI can personally say that your skills are \nnot required here. You would serve \nyour clan better elsewhere.\n
NihlathakAct5IntroNecGossip1	45\nAhhh, a Necromancer.\n \nWhile I admire your courage in seeking \nout the darker side of magic, we really \nhave little need of your skills. The \nbattle will turn soon enough without \nyour meddling. \n \nYet, I should have expected to see your \nkind here. You are like a moth to the \nflame -- drawn to all this death. It \nfeeds you in more ways than one, does \nit not?\n
NihlathakGossip1	49\nIf you're looking for cases of \ntreacherous magic, Assassin, take a \nhard look at Larzuk. He was the only \none in town who escaped the Red Fever \nlast spring. He claimed his good \nfortune was due to 'hand washing' \nbefore meals.\n \nHmmm...Very suspicious...\n
NihlathakGossip2	48\nWhy would you seek this place, \nstranger? Are you a vulture come to \nloot the bodies of our fallen warriors? \n \nRegardless, this is no place to make a \nname for yourself. The mountain is \nours to protect. It is only a matter of \ntime before Hell's legions are routed.\n
NihlathakGossip3	67\nQual-Kehk is useless. He has blindly \nsent our warriors to their deaths, \nassuming Baal's legions would fight as \nmen do. Of course, everyone knows \nthey do not.\n
NihlathakGossip4	57\nThe demon hordes have grown powerful \nbeyond measure, aided by our foolish \nmistakes. But I may have found a way \nto correct those mistakes...\n
NihlathakGossip5	37\nOh yes...I remember our warriors as \nchildren. Malah would set their broken \nbones and give them powders for their \nfevers. Now, they return to her with \nwounds that will never heal.\n \nI am tired...Please...leave me.\n
NihlathakGossip6	133\nIf you have nothing useful for me, be on \nyour way!\n
NihlathakGossip7	81\nAnya's father was my good friend. \nThere are so many to mourn...I have \nno time for you!\n
NihlathakGossip8	53\nI have long been criticized, but \nespecially of late -- since the deaths of \nmy fellow Elders. Through it all, I have \nlearned one thing. Each man must do \nwhat's right, no matter what others \nmay think.\n
NihlathakGossip9	65\nThe Council of Elders always believed \nitself prepared for the coming of the \nThree. Obviously, we were not prepared \nenough.\n
QualKehkAct5IntroGossip1	45\nI am Qual-Kehk, the Senior Man-At-Arms \nof Harrogath.\n \nYou have the look of a warrior...An \nextra soldier will be useful. But don't \nexpect anyone to mourn if you get \nyourself killed. \n \nBaal is true to his namesake. He has \nravaged through our lands like a \nmerciless plague.\n \nThe protective ward laid down by our \nlost Elders helps hold the evil at bay, \nbut Baal's siege has taken its toll all \nthe same.\n \nMost of my men are now dead. Others \nare trapped in the mountain passes.\n \nBut I swear we are not beaten yet! We \nwill fight to the end to protect this \nmountain!\n
QualKehkAct5IntroPalGossip1	42\nA Paladin! I have long heard of your \npeople.\n \nAs a young warrior I even considered \nthe pilgrimage to Kurast. But I was \nyounger then and foolish. My place has \nalways been here -- protecting \nHarrogath, and Mount Arreat with it.\n \nI am Qual-Kehk, the Senior Man-At-Arms \nof Harrogath.\n \nYou have the look of a warrior...An \nextra soldier will be useful. But don't \nexpect anyone to mourn if you get \nyourself killed. \n \nBaal is true to his namesake. He has \nravaged through our lands like a \nmerciless plague.\n \nThe protective ward laid down by our \nlost Elders helps hold the evil at bay, \nbut Baal's siege has taken its toll all \nthe same.\n \nMost of my men are now dead. Others \nare trapped in the mountain passes.\n \nBut I swear we are not beaten yet! We \nwill fight to the end to protect this \nmountain!\n
